TrialNumber;bg_or;t_or;num_distractors;trial_id;trial_rep;participant;trial_type;trial_index;resp_rt;resp_corr;resp_keys;target_pos;target_size;singleton_id;singleton_pos;singleton_size;singleton_ori;lures_pos;lures_size;lures_ori;original_TrialNum;thisRepN_original;thisRepN;bg_or_original;t_or_original;num_distractors_original;ran;order
1;0;0;8;4;0;16.0;practice_freeview;1.0;5555.0;5555.0;freeview_timeup;[643.0, 174.0];[35.0, 30.0];0.0;[-616.0, 285.0];[35.0, 30.0];1.0;[[-625.0, 185.0], [-461.0, -286.0], [-473.0, -58.0], [-297.0, -61.0], [307.0, -304.0], [298.0, -62.0], [478.0, 169.0], [465.0, 297.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 1, 0, 0, 1, 1];7.0;0.0;0.0;0.0;0.0;8.0;1.0;0.0
2;1;1;0;16;0;16.0;practice_freeview;2.0;5555.0;5555.0;freeview_timeup;[-462.0, 56.0];[35.0, 30.0];1.0;[312.0, 186.0];[35.0, 30.0];1.0;[];[];[];32.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0
3;0;1;0;11;0;16.0;practice_freeview;3.0;5555.0;5555.0;freeview_timeup;[-463.0, 73.0];[35.0, 30.0];1.0;[287.0, -312.0];[35.0, 30.0];1.0;[];[];[];22.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0
4;1;1;4;18;0;16.0;practice_freeview;4.0;5555.0;5555.0;freeview_timeup;[630.0, -63.0];[35.0, 30.0];1.0;[-306.0, 305.0];[35.0, 30.0];0.0;[[-635.0, -54.0], [-630.0, 66.0], [477.0, -171.0], [474.0, 306.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 0, 1, 1];36.0;0.0;0.0;1.0;1.0;4.0;1.0;3.0
5;0;0;2;2;0;16.0;practice_freeview;5.0;5555.0;5555.0;freeview_timeup;[641.0, -181.0];[35.0, 30.0];0.0;[-299.0, -288.0];[35.0, 30.0];0.0;[[-634.0, -52.0], [464.0, 290.0]];[[35.0, 30.0], [35.0, 30.0]];[0, 0];3.0;0.0;0.0;0.0;0.0;2.0;1.0;4.0
6;1;0;2;7;0;16.0;practice_freeview;6.0;5555.0;5555.0;freeview_timeup;[476.0, -300.0];[35.0, 30.0];0.0;[-641.0, -185.0];[35.0, 30.0];1.0;[[-458.0, -314.0], [287.0, 56.0]];[[35.0, 30.0], [35.0, 30.0]];[0, 0];13.0;0.0;0.0;1.0;0.0;2.0;1.0;5.0
7;1;1;8;19;0;16.0;practice_freeview;7.0;5555.0;5555.0;freeview_timeup;[-302.0, 63.0];[35.0, 30.0];1.0;[478.0, -58.0];[35.0, 30.0];1.0;[[-631.0, 285.0], [-459.0, 183.0], [-473.0, 292.0], [-311.0, 309.0], [290.0, -166.0], [290.0, 314.0], [464.0, 193.0], [627.0, 300.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[0, 0, 1, 1, 0, 1, 0, 0];38.0;0.0;0.0;1.0;1.0;8.0;1.0;6.0
8;1;1;16;20;0;16.0;practice_freeview;8.0;5555.0;5555.0;freeview_timeup;[302.0, 309.0];[35.0, 30.0];1.0;[-465.0, 65.0];[35.0, 30.0];0.0;[[-624.0, -183.0], [-641.0, -67.0], [-640.0, 171.0], [-630.0, 312.0], [-468.0, -186.0], [-464.0, -48.0], [-308.0, -304.0], [-300.0, -178.0], [302.0, -193.0], [303.0, 175.0], [456.0, -297.0], [459.0, -187.0], [478.0, 60.0], [469.0, 172.0], [644.0, -63.0], [617.0, 57.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0];40.0;0.0;0.0;1.0;1.0;16.0;1.0;7.0
9;1;1;2;17;0;16.0;practice_freeview;9.0;5555.0;5555.0;freeview_timeup;[-645.0, -305.0];[35.0, 30.0];1.0;[292.0, 294.0];[35.0, 30.0];0.0;[[-475.0, -53.0], [305.0, 184.0]];[[35.0, 30.0], [35.0, 30.0]];[1, 1];34.0;0.0;0.0;1.0;1.0;2.0;1.0;8.0
10;0;0;16;5;0;16.0;practice_freeview;10.0;5555.0;5555.0;freeview_timeup;[288.0, 308.0];[35.0, 30.0];0.0;[-301.0, 306.0];[35.0, 30.0];0.0;[[-618.0, -315.0], [-632.0, 49.0], [-631.0, 179.0], [-466.0, -294.0], [-473.0, -56.0], [-457.0, 194.0], [-311.0, -183.0], [-297.0, 55.0], [300.0, -312.0], [300.0, 64.0], [464.0, -288.0], [471.0, -194.0], [474.0, -73.0], [468.0, 58.0], [644.0, -169.0], [633.0, 70.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1];9.0;0.0;0.0;0.0;0.0;16.0;1.0;9.0
